Contrato;Cliente;DataContrato;Produto;Banco;NomeBanco;Moeda;TaxaCambio;Qtd_Prestacao;V_Contrato;T_Pago;T_Cancelado;T_Desconto;Saldo;DataUltPrestacao;QtdPrestAbertas;DataUltParcela;QtdPrestVencer
9.010088207E9;28677;2007-06-01;IMPORTACAO;222;BANCO BRADESCO S.A.;USD;3.8423;2;1001625.36474;1001625.36474;0.0;0.0;0.0;2007-07-31;"";2007-07-31;""
9.010088303E9;9217;2003-12-29;CARTA DE CREDITO;508;WELLS FARGO BANK MINNESOTA N.A.;USD;3.8423;1;96057.5;96057.5;0.0;0.0;0.0;2004-03-30;"";2004-03-30;""
9.010088305E9;60812;2005-09-26;FINANCEIRO;622;BANCO LATINO AMERICANO DE EXPORTACI;USD;3.8423;2;5.9545083675E7;5.9545083675E7;0.0;0.0;0.0;2006-06-23;"";2006-06-23;""
9.010088306E9;60812;2006-07-17;FINANCEIRO;222;BANCO BRADESCO S.A.;USD;3.8423;2;3.9532868642344E7;3.9532868642344E7;0.0;0.0;0.0;2007-01-12;"";2007-01-12;""
9.010088403E9;13559;2003-12-24;CARTA DE CREDITO;466;BANCO SANTANDER CHILE;USD;3.8423;1;160085.58719999998;160085.58719999998;0.0;0.0;0.0;2004-04-02;"";2004-04-02;""
9.010088405E9;2037;2005-09-29;CARTA DE CREDITO;508;WELLS FARGO BANK MINNESOTA N.A.;USD;3.8423;1;134480.5;134480.5;0.0;0.0;0.0;2006-02-21;"";2006-02-21;""
9.010088406E9;1261;2006-07-28;CARTA DE CREDITO;761;BANK OF AMERICA N.A.;USD;3.8423;1;48205.4958;48205.4958;0.0;0.0;0.0;2006-11-01;"";2006-11-01;""
9.010088407E9;14894;2007-06-11;CARTA DE CREDITO;752;BANK OF NEW YORK;USD;3.8423;1;212613.67049999998;0.0;0.0;0.0;212613.67049999998;2007-10-26;1;2007-10-26;""
9.010088503E9;978;2004-01-09;CARTA DE CREDITO;302;STANDARD CHARTERED FIRST BANK KOREA;USD;3.8423;3;1396752.896;1396752.896;0.0;0.0;0.0;2004-03-09;"";2004-03-09;""
9.010088505E9;1327;2005-10-17;IMPORTACAO;222;BANCO BRADESCO S.A.;USD;3.8423;2;98446.25791;98446.25791;0.0;0.0;0.0;2006-01-17;"";2006-01-17;""
9.010088506E9;60812;2006-07-18;FINANCEIRO;228;WACHOVIA BANK N.A.;USD;3.8423;2;2.2376439588195E7;2.2376439588195E7;0.0;0.0;0.0;2007-07-13;"";2007-07-13;""
9.010088603E9;978;2004-02-10;IMPORTACAO;87;STANDARD CHARTERED BANK;USD;3.8423;2;563221.931734;563221.931734;0.0;0.0;0.0;2004-08-09;"";2004-08-09;""
9.010088606E9;248;2006-08-02;CARTA DE CREDITO;772;INDIAN OVERSEAS BANK;USD;3.8423;1;153587.48944;153587.48944;0.0;0.0;0.0;2006-11-24;"";2006-11-24;""
9.010088703E9;978;2004-01-09;CARTA DE CREDITO;322;STANDARD CHARTERED BANK PLC;USD;3.8423;5;6203868.988317;6203868.988317;0.0;0.0;0.0;2004-05-31;"";2004-05-31;""
9.010088705E9;119;2005-09-27;CARTA DE CREDITO;778;NATEXIS BANQUES POPULAIRES;EUR;4.331;1;245532.22911000001;245532.22911000001;0.0;0.0;0.0;2006-01-05;"";2006-01-05;""
9.010088803E9;978;2004-03-16;IMPORTACAO;87;STANDARD CHARTERED BANK;USD;3.8423;2;346746.98027199996;346746.98027199996;0.0;0.0;0.0;2004-09-10;"";2004-09-10;""
9.010088805E9;25316;2005-09-29;CARTA DE CREDITO;794;BANQUE DU CAIRE;USD;3.8423;1;176321.264273;176321.264273;0.0;0.0;0.0;2006-05-08;"";2006-05-08;""
9.010088807E9;60812;2007-05-29;FINANCEIRO;13;BANCO BRADESCO S.A.;USD;3.8423;2;1.71740371738859E8;1.71740371738859E8;0.0;0.0;0.0;2007-06-28;"";2007-06-28;""
9.010088903E9;978;2004-01-09;CARTA DE CREDITO;302;STANDARD CHARTERED FIRST BANK KOREA;USD;3.8423;5;949021.97236;949021.97236;0.0;0.0;0.0;2004-04-22;"";2004-04-22;""
9.010088905E9;60854;2005-10-20;CARTA DE CREDITO;419;STANDARD CHARTERED BANK PLC;USD;3.8423;1;140269.923948;140269.923948;0.0;0.0;0.0;2006-01-09;"";2006-01-09;""
